EEG Fpz-Cz,EEG Pz-Oz,EOG horizontal,Resp oro-nasal,EMG submental,Temp rectal,Event marker,annotation
0.382666177,0.516853933,0.545925577,0.497043086,0.94198139,0.878473662,0.502762431,Sleep stage W
0.383767903,0.446507084,0.560056524,0.491692481,0.938697318,0.878473662,0.552486188,Sleep stage W
0.398090342,0.487542745,0.578897786,0.48803154,0.925561029,0.879717959,0.524861878,Sleep stage W
0.443995593,0.530532487,0.491285916,0.488876373,0.936507937,0.875570303,0.519337017,Sleep stage W
0.385971355,0.461162677,0.583608102,0.489157984,0.920634921,0.879303194,0.419889503,Sleep stage W
0.362467866,0.445530044,0.550635893,0.490847649,0.935413246,0.882621319,0.613259669,Sleep stage W
0.356224752,0.479726429,0.541215261,0.497606308,0.920087575,0.876399834,0.447513812,Sleep stage W
0.323172971,0.47679531,0.734338201,0.481836103,0.911330049,0.878058897,0.480662983,Sleep stage W
0.368710981,0.52320469,0.593970796,0.489721205,0.910235359,0.885109913,0.46961326,Sleep stage W
0.376055821,0.493893503,0.452190297,0.48774993,0.923918993,0.875985068,0.535911602,Sleep stage W
0.487697393,0.469467513,0.473857748,0.489157984,0.926108374,0.870593115,0.629834254,Sleep stage W
0.394417921,0.43234001,0.642487047,0.485497043,0.903667214,0.867689755,0.458563536,Sleep stage W
0.520381932,0.391792868,0.699481865,0.493382146,0.939244663,0.861883036,0.502762431,Sleep stage W
0.369812707,0.494382022,0.813471503,0.489721205,0.915161467,0.868934052,0.513812155,Sleep stage W
0.313257437,0.428920371,0.846914743,0.495635032,0.954022989,0.869763584,0.602209945,Sleep stage W
0.375688579,0.525158769,0.481394253,0.495916643,0.931581828,0.874740771,0.408839779,Sleep stage W
0.336393683,0.515388373,0.555346208,0.484652211,0.916803503,0.875985068,0.419889503,Sleep stage W
0.39955931,0.519296532,0.499293453,0.483807378,0.901477833,0.875985068,0.414364641,Sleep stage W
0.392581711,0.428920371,0.535091851,0.493663757,0.944170772,0.874326006,0.563535912,Sleep stage W
0.35769372,0.494870542,0.535562883,0.490002816,0.934318555,0.865615927,0.552486188,Sleep stage W
0.469335292,0.611626771,0.231747527,0.48803154,0.928845101,0.870178349,0.519337017,Sleep stage W
0.485861183,0.489008305,0.418276024,0.499859195,0.950191571,0.883036085,0.607734807,Sleep stage W
0.340433346,0.423546654,0.734809232,0.488313151,0.925013684,0.873081709,0.563535912,Sleep stage W
0.336393683,0.52222765,0.57701366,0.488594762,0.937602627,0.876399834,0.519337017,Sleep stage W
0.340800588,0.511968735,0.586434291,0.490002816,0.92665572,0.873496474,0.46961326,Sleep stage W
0.406536908,0.443575965,0.418747056,0.487186708,0.914066776,0.878473662,0.486187845,Sleep stage W
0.411311054,0.512945774,0.446066886,0.484088989,0.924466338,0.869348818,0.668508287,Sleep stage W
0.327579875,0.50024426,0.560998587,0.484652211,0.929939792,0.869348818,0.519337017,Sleep stage W
0.351817848,0.470933073,0.556288271,0.482962546,0.918992885,0.858979676,0.668508287,Sleep stage W
0.459419758,0.502686859,0.41073952,0.494226978,0.945812808,0.870178349,0.580110497,Sleep stage W
0.466764598,0.569614069,0.449835139,0.48803154,0.927203065,0.875155537,0.591160221,Sleep stage W
0.471171502,0.54518808,0.397079604,0.493663757,0.922276957,0.868934052,0.491712707,Sleep stage W
0.323540213,0.478749389,0.493641074,0.493100535,0.938697318,0.879303194,0.569060773,Sleep stage W
0.322071245,0.513922814,0.651436646,0.492818924,0.923371648,0.874740771,0.475138122,Sleep stage W
0.379728241,0.405471422,0.578426755,0.48803154,0.910782704,0.880132725,0.403314917,Sleep stage W
0.311421227,0.472398632,0.600565238,0.483244157,0.925013684,0.872252178,0.44198895,Sleep stage W
0.358795446,0.513922814,0.553933114,0.483525767,0.920087575,0.874740771,0.453038674,Sleep stage W
0.402130004,0.47777235,0.530852567,0.484088989,0.914614122,0.870178349,0.364640884,Sleep stage W
0.327212633,0.481680508,0.513895431,0.484652211,0.918445539,0.870593115,0.502762431,Sleep stage W
0.260741829,0.469467513,0.599152143,0.488594762,0.917898194,0.870178349,0.447513812,Sleep stage W
0.386338597,0.52222765,0.547338672,0.491129259,0.934318555,0.869763584,0.580110497,Sleep stage W
0.387073081,0.489496825,0.52567122,0.493663757,0.932676519,0.870593115,0.607734807,Sleep stage W
0.307748806,0.360527601,0.604804522,0.48803154,0.923371648,0.873496474,0.607734807,Sleep stage W
0.296731546,0.462628236,0.667922751,0.483807378,0.900930487,0.869348818,0.497237569,Sleep stage W
0.349247154,0.47630679,0.513895431,0.486905097,0.89107827,0.868519287,0.458563536,Sleep stage W
0.381564451,0.453346361,0.502590674,0.493663757,0.960591133,0.873496474,0.740331492,Sleep stage W
0.374586853,0.509526136,0.527555346,0.487186708,0.923918993,0.88345085,0.541436464,Sleep stage W
0.428938671,0.459208598,0.542157325,0.494226978,0.944718117,0.880547491,0.580110497,Sleep stage W
0.332354021,0.503175379,0.535091851,0.488594762,0.94198139,0.86727499,0.712707182,Sleep stage W
0.373852369,0.502198339,0.575129534,0.485497043,0.921182266,0.867689755,0.53038674,Sleep stage W
0.387440323,0.439179287,0.608572774,0.486623486,0.910235359,0.870593115,0.408839779,Sleep stage W
0.297833272,0.555935515,0.51672162,0.493100535,0.915161467,0.875155537,0.55801105,Sleep stage W
0.380829967,0.444064485,0.525200188,0.490002816,0.918992885,0.874740771,0.585635359,Sleep stage W
0.433345575,0.536394724,0.496938295,0.49141087,0.910235359,0.871837412,0.569060773,Sleep stage W
0.414983474,0.524670249,0.528026378,0.496198254,0.940339354,0.870178349,0.629834254,Sleep stage W
0.377524789,0.422569614,0.602449364,0.491974092,0.899835796,0.868519287,0.458563536,Sleep stage W
0.429673155,0.532975085,0.522373999,0.49141087,0.938697318,0.871837412,0.580110497,Sleep stage W
0.316195373,0.490473864,0.672633066,0.49816953,0.929939792,0.87391124,0.524861878,Sleep stage W
0.428571429,0.445530044,0.528968441,0.491974092,0.954570334,0.873081709,0.453038674,Sleep stage W
0.426735219,0.514899853,0.563353745,0.487186708,0.936507937,0.871007881,0.458563536,Sleep stage W
0.345574734,0.401563263,0.60715968,0.49141087,0.945265463,0.876399834,0.546961326,Sleep stage W
0.422328314,0.52271617,0.591144607,0.482962546,0.935960591,0.875985068,0.430939227,Sleep stage W
0.372016159,0.438690767,0.558643429,0.485497043,0.929392447,0.875155537,0.386740331,Sleep stage W
0.432243849,0.653639472,0.467734338,0.485778654,0.924466338,0.872666943,0.458563536,Sleep stage W
0.437017995,0.485588666,0,0.496198254,0.957307061,0.864786396,0.475138122,Sleep stage W
0.35034888,0.463116756,0.47432878,0.489157984,0.932676519,0.872252178,0.458563536,Sleep stage W
0.497245685,0.497801661,0.484691474,0.490284427,0.892172961,0.875570303,0.348066298,Sleep stage W
0.341902314,0.440644846,0.499764484,0.488313151,0.904761905,0.874740771,0.436464088,Sleep stage W
0.367976497,0.513922814,0.551106924,0.48803154,0.916256158,0.872252178,0.486187845,Sleep stage W
0.377892031,0.441621886,0.568535092,0.494508589,0.91954023,0.871007881,0.53038674,Sleep stage W
0.455380095,0.451880801,0.572303344,0.490284427,0.93377121,0.8768146,0.569060773,Sleep stage W
0.381564451,0.490962384,0.611398964,0.488876373,0.904761905,0.875570303,0.453038674,Sleep stage W
0.420124862,0.496336102,0.544512482,0.488876373,0.921729611,0.864786396,0.436464088,Sleep stage W
0.347043702,0.435759648,0.639189826,0.484652211,0.927203065,0.868104521,0.569060773,Sleep stage W
0.333088505,0.479726429,0.597268017,0.489439594,0.909688013,0.867689755,0.486187845,Sleep stage W
0.291222916,0.470444553,0.443711729,0.491129259,0.903667214,0.86437163,0.397790055,Sleep stage W
0.348879912,0.433317049,0.597268017,0.492818924,0.929392447,0.86146827,0.629834254,Sleep stage W
0.374219611,0.534929165,0.544983514,0.493663757,0.921182266,0.864786396,0.55801105,Sleep stage W
0.437017995,0.473375672,0.669335846,0.495635032,0.925013684,0.865615927,0.640883978,Sleep stage W
0.395886889,0.59110894,0.331135186,0.499577584,0.915708812,0.85773538,0.569060773,Sleep stage W
0.36503856,0.564240352,0.534149788,0.499859195,0.94198139,0.873496474,0.701657459,Sleep stage W
0.34300404,0.446507084,0.540273198,0.49816953,0.937602627,0.871837412,0.635359116,Sleep stage W
0.363569592,0.497801661,0.439001413,0.497887919,0.937055282,0.869763584,0.408839779,Sleep stage W
0.28094014,0.47777235,0.682524729,0.495635032,0.917898194,0.877229365,0.447513812,Sleep stage W
0.390745501,0.449438202,0.688177108,0.495071811,0.933223864,0.873081709,0.436464088,Sleep stage W
0.460521484,0.543722521,0.381064531,0.486623486,0.94198139,0.873081709,0.497237569,Sleep stage W
0.372750643,0.445530044,0.624587847,0.491974092,0.960043788,0.868519287,0.651933702,Sleep stage W
0.472273228,0.43282853,0.803108808,0.484652211,0.916256158,0.87391124,0.508287293,Sleep stage W
0.364304076,0.491450904,0.491756948,0.492537313,0.938149973,0.875155537,0.591160221,Sleep stage W
0.430774881,0.470444553,0.671691003,0.482399324,0.920634921,0.869763584,0.53038674,Sleep stage W
0.368710981,0.487542745,0.629298163,0.492537313,0.942528736,0.871422646,0.580110497,Sleep stage W
0.364304076,0.45530044,0.555346208,0.493382146,0.939792009,0.868519287,0.696132597,Sleep stage W
0.428571429,0.711773327,0.442769666,0.4947902,0.930487137,0.87391124,0.613259669,Sleep stage W
0.293426368,0.399120664,0.703250118,0.493100535,0.920634921,0.870593115,0.491712707,Sleep stage W
0.524054352,0.566194431,0.584079133,0.500704027,0.918445539,0.871837412,0.508287293,Sleep stage W
0.372383401,0.511480215,0.697126707,0.496761476,0.917898194,0.877229365,0.596685083,Sleep stage W
0.372016159,0.435271128,0.601507301,0.492818924,0.933223864,0.871422646,0.580110497,Sleep stage W
0.354388542,0.439179287,0.577955723,0.494226978,0.910235359,0.874326006,0.552486188,Sleep stage W
0.324274697,0.494870542,0.580310881,0.493100535,0.906951286,0.873496474,0.491712707,Sleep stage W
0.370547191,0.483634587,0.550635893,0.494508589,0.937055282,0.874326006,0.55801105,Sleep stage W
0.423797282,0.485100147,0.503532737,0.492255703,0.914066776,0.868934052,0.408839779,Sleep stage W
0.363569592,0.492427943,0.690532266,0.488313151,0.924466338,0.865615927,0.519337017,Sleep stage W
0.408373118,0.493404983,0.682524729,0.485778654,0.911330049,0.872666943,0.425414365,Sleep stage W
0.350716122,0.419638495,0.289684409,0.496761476,0.907498632,0.872666943,0.303867403,Sleep stage W
0.332721263,0.481191988,0.58926048,0.488313151,0.914066776,0.874740771,0.414364641,Sleep stage W
0.363936834,0.441621886,0.535562883,0.494508589,0.909140668,0.869348818,0.414364641,Sleep stage W
0.434447301,0.437713727,0.685350919,0.493663757,0.906951286,0.873081709,0.458563536,Sleep stage W
0.446566287,0.459208598,0.527555346,0.492818924,0.932676519,0.866445458,0.541436464,Sleep stage W
0.371281675,0.487054226,0.551106924,0.493945368,0.917350848,0.868934052,0.524861878,Sleep stage W
0.378259273,0.508060576,0.545925577,0.49141087,0.908593322,0.865201161,0.491712707,Sleep stage W
0.361733382,0.468001954,0.518134715,0.489721205,0.91954023,0.863956864,0.419889503,Sleep stage W
